sexe;id_client;formation;usage_vehicule;type_vehicule;est_rouge;type_conduite;etat_dossier;formule;Année_naissance;Présence_enft_cond_accomp;Présence_enfants;Cat_revenus;Cat_valeur_res_princ;Cat_points_perdus;Cat_age_veh;Année date_demande;Cat_Tarif_devis
F;07C6AD7D-3687;z_High School;Private;Pickup;yes;Highly Urban/ Urban;complet;dev_premium;1965;oui;oui;40-60k€;100-200K€;_0;;2022;250_500
M;0583DA7F-4047;Bachelors;Private;z_SUV;no;Highly Urban/ Urban;complet;dev_integral;1970;non;non;60-80k€;_0;_0;10_15;2022;250_500
F;7A2E2048-ED9C;Masters;Private;z_SUV;no;Highly Urban/ Urban;complet;dev_express;1957;non;non;80-100k€;200-400K€;3_6;10_15;2022;250_500
M;4CB770C5-FFF4;<High School;Private;z_SUV;no;Highly Urban/ Urban;complet;dev_express;1946;non;oui;0-20k€;0-100K€;0_3;0_5;2022;250_500
F;6A2BD149-F116;Masters;Commercial;Panel Truck;yes;Highly Urban/ Urban;complet;dev_integral;1981;non;non;sup 100k€;200-400K€;0_3;10_15;2022;250_500
M;B470B77C-ACE5;Bachelors;Commercial;Van;yes;Highly Urban/ Urban;complet;dev_integral;1945;non;non;80-100k€;_0;_0;5_10;2022;250_500
F;0D3A7861-12F9;<High School;Private;Van;yes;z_Highly Rural/ Rural;complet;dev_integral;1984;oui;oui;40-60k€;100-200K€;0_3;0_5;2022;250_500
F;2346D91D-27A8;<High School;Commercial;Pickup;yes;Highly Urban/ Urban;complet;dev_integral;1998;non;non;20-40k€;100-200K€;6_9;0_5;2022;250_500
F;CD0FDB58-F180;<High School;Private;Minivan;no;Highly Urban/ Urban;complet;dev_express;1974;non;oui;40-60k€;100-200K€;0_3;0_5;2022;250_500
M;29C27077-B88C;Bachelors;Private;Minivan;no;Highly Urban/ Urban;complet;dev_express;2003;non;non;sup 100k€;200-400K€;_0;5_10;2022;250_500
F;571BBC98-C276;Masters;Private;Sports Car;no;Highly Urban/ Urban;complet;dev_express;1975;non;non;40-60k€;_0;_0;sup 15;2022;250_500
F;E01CBAF0-107B;Bachelors;Commercial;Minivan;no;z_Highly Rural/ Rural;complet;dev_express;2016;non;non;60-80k€;200-400K€;3_6;5_10;2022;250_500
M;08AC3EC9-AB99;PhD;Private;Van;no;Highly Urban/ Urban;complet;dev_premium;1974;non;non;60-80k€;200-400K€;_0;10_15;2022;250_500
F;93331172-09E5;Masters;Commercial;Van;yes;Highly Urban/ Urban;complet;dev_integral;1967;non;oui;40-60k€;100-200K€;3_6;5_10;2022;250_500
M;2C58D155-078B;Bachelors;Private;z_SUV;no;Highly Urban/ Urban;complet;dev_express;1990;non;non;60-80k€;200-400K€;0_3;10_15;2022;250_500
F;6486A955-C495;z_High School;Private;Van;yes;Highly Urban/ Urban;complet;dev_express;1950;oui;oui;20-40k€;;_0;0_5;2022;250_500
F;687567C3-406D;z_High School;Private;Sports Car;no;Highly Urban/ Urban;complet;dev_express;1992;oui;oui;20-40k€;_0;0_3;5_10;2022;250_500
F;44F29641-70BE;Masters;Private;Minivan;no;Highly Urban/ Urban;complet;dev_integral;1950;non;non;80-100k€;200-400K€;_0;sup 15;2022;250_500
F;5358AF5D-AE7B;Bachelors;Private;Pickup;no;Highly Urban/ Urban;complet;dev_express;1968;non;non;40-60k€;100-200K€;_0;5_10;2022;250_500
F;77A13D07-98A0;Bachelors;Commercial;Van;no;Highly Urban/ Urban;complet;dev_integral;1952;non;oui;60-80k€;200-400K€;_0;0_5;2022;250_500
F;72AE156A-6757;<High School;Private;Sports Car;no;Highly Urban/ Urban;complet;dev_express;1942;non;oui;20-40k€;_0;_0;0_5;2022;250_500
F;7477E7A6-452B;Bachelors;Private;z_SUV;no;Highly Urban/ Urban;complet;dev_integral;2019;non;non;0-20k€;100-200K€;_0;5_10;2022;250_500
M;90B7D446-2CF5;z_High School;Private;z_SUV;no;Highly Urban/ Urban;complet;dev_express;1972;non;non;60-80k€;200-400K€;3_6;0_5;2022;250_500
M;25791B61-318B;Bachelors;Private;Pickup;no;Highly Urban/ Urban;complet;dev_express;1954;non;non;80-100k€;200-400K€;_0;5_10;2022;250_500
M;DD4A3B4F-1219;<High School;Private;Minivan;no;z_Highly Rural/ Rural;complet;dev_express;1972;non;non;0-20k€;_0;0_3;0_5;2022;250_500
M;A7FBBDB3-92F8;Bachelors;Private;z_SUV;yes;Highly Urban/ Urban;complet;dev_express;1950;non;oui;20-40k€;0-100K€;0_3;10_15;2022;250_500
F;2A16072F-481F;Bachelors;Commercial;Pickup;no;Highly Urban/ Urban;complet;dev_integral;1999;non;non;80-100k€;_0;0_3;0_5;2022;250_500
F;21D76FF2-7FEC;Bachelors;Private;z_SUV;no;Highly Urban/ Urban;complet;dev_integral;2019;non;non;60-80k€;_0;_0;5_10;2022;250_500
M;B028CCEB-7A30;PhD;Private;z_SUV;no;Highly Urban/ Urban;complet;dev_express;1988;non;non;sup 100k€;sup 400K€;0_3;10_15;2022;250_500
M;8AA18190-0816;Bachelors;Private;Minivan;yes;Highly Urban/ Urban;complet;dev_integral;2013;non;non;80-100k€;200-400K€;0_3;5_10;2022;250_500
F;970C0763-DC84;z_High School;Private;Minivan;no;z_Highly Rural/ Rural;complet;dev_premium;1943;non;oui;60-80k€;;0_3;5_10;2022;250_500
M;9FC88B99-FFD7;Bachelors;Private;Pickup;no;Highly Urban/ Urban;complet;dev_express;1944;non;non;40-60k€;100-200K€;_0;5_10;2022;250_500
F;B4752211-224A;Masters;Private;z_SUV;no;Highly Urban/ Urban;complet;dev_integral;1993;non;non;sup 100k€;_0;0_3;sup 15;2022;250_500
F;1E37238A-8B2D;z_High School;Commercial;Minivan;no;Highly Urban/ Urban;complet;dev_express;1950;non;non;60-80k€;200-400K€;3_6;0_5;2022;250_500
M;1E4E92C9-78F4;Bachelors;Commercial;Panel Truck;no;Highly Urban/ Urban;complet;dev_premium;1971;non;non;40-60k€;_0;3_6;10_15;2022;250_500
F;8319CD08-56E6;<High School;Private;Minivan;no;Highly Urban/ Urban;complet;dev_express;1970;non;non;40-60k€;100-200K€;3_6;5_10;2022;250_500
M;68E42C78-DEC8;z_High School;Private;Minivan;yes;Highly Urban/ Urban;complet;dev_premium;1962;non;non;sup 100k€;_0;0_3;0_5;2022;250_500
M;790A5BA5-B970;z_High School;Private;Sports Car;no;z_Highly Rural/ Rural;complet;dev_express;1940;non;non;0-20k€;_0;_0;0_5;2022;250_500
M;8D7DC570-0169;z_High School;Commercial;Van;yes;z_Highly Rural/ Rural;complet;dev_express;1959;non;non;sup 100k€;_0;_0;5_10;2022;250_500
F;CE6031AB-62BD;Bachelors;Commercial;z_SUV;no;Highly Urban/ Urban;complet;dev_express;1959;non;oui;20-40k€;;_0;0_5;2022;250_500
M;CC96CE2B-194C;<High School;Private;Sports Car;no;z_Highly Rural/ Rural;complet;dev_express;1959;non;non;0-20k€;_0;0_3;;2022;250_500
M;ECEDC432-422F;z_High School;Commercial;Pickup;yes;Highly Urban/ Urban;complet;dev_express;1961;non;non;40-60k€;;0_3;5_10;2022;250_500
M;BC27DA34-9DE7;z_High School;Private;Minivan;yes;Highly Urban/ Urban;complet;dev_express;1982;non;non;40-60k€;100-200K€;_0;5_10;2022;250_500
M;3CA26941-F2EF;Masters;Private;Minivan;no;Highly Urban/ Urban;complet;dev_premium;1970;non;non;;_0;_0;sup 15;2022;250_500
F;8477CEB7-4A46;z_High School;Private;z_SUV;no;z_Highly Rural/ Rural;complet;dev_express;2001;oui;oui;20-40k€;_0;_0;0_5;2022;250_500
M;0237609E-5A57;Masters;Private;Minivan;no;Highly Urban/ Urban;complet;dev_premium;1974;non;non;40-60k€;200-400K€;_0;10_15;2022;500_750
M;26607030-39BE;Masters;Private;Sports Car;no;z_Highly Rural/ Rural;complet;dev_integral;1965;non;oui;40-60k€;100-200K€;_0;0_5;2022;250_500
M;DAF763F8-04EE;z_High School;Commercial;Minivan;no;Highly Urban/ Urban;complet;dev_express;1943;non;non;40-60k€;100-200K€;0_3;0_5;2022;250_500
F;AA218693-0DEF;<High School;Private;Minivan;no;Highly Urban/ Urban;complet;dev_premium;2012;non;oui;20-40k€;100-200K€;0_3;0_5;2022;250_500
F;2016DDFD-CB07;z_High School;Private;Sports Car;no;Highly Urban/ Urban;complet;dev_premium;2018;non;non;80-100k€;200-400K€;3_6;0_5;2022;250_500
M;1E6B270F-0156;z_High School;Private;Van;yes;Highly Urban/ Urban;complet;dev_express;1961;non;non;40-60k€;_0;_0;0_5;2022;250_500
F;539533F7-6CCA;Bachelors;Private;Pickup;no;Highly Urban/ Urban;complet;dev_integral;1953;non;non;60-80k€;100-200K€;3_6;10_15;2022;250_500
F;7B938060-64F8;z_High School;Commercial;Pickup;yes;z_Highly Rural/ Rural;complet;dev_integral;1972;non;non;20-40k€;;0_3;0_5;2022;250_500
M;B82A8AAC-61D0;z_High School;Private;Minivan;no;Highly Urban/ Urban;complet;dev_express;1962;non;non;20-40k€;_0;6_9;0_5;2022;250_500
F;423E1A57-1CAC;<High School;Private;Minivan;yes;Highly Urban/ Urban;complet;dev_integral;1987;oui;oui;40-60k€;100-200K€;_0;5_10;2022;250_500
M;F8029335-14D0;PhD;Private;Van;yes;Highly Urban/ Urban;complet;dev_integral;1981;non;oui;60-80k€;200-400K€;0_3;5_10;2022;250_500
M;A6287AD7-A3D6;z_High School;Commercial;z_SUV;no;Highly Urban/ Urban;complet;dev_integral;2004;non;non;60-80k€;_0;_0;0_5;2022;250_500
M;05636831-B1B9;Masters;Commercial;Pickup;no;Highly Urban/ Urban;complet;dev_integral;1957;non;oui;0-20k€;0-100K€;0_3;10_15;2022;250_500
F;E4FD7207-F1BD;z_High School;Private;Minivan;no;Highly Urban/ Urban;complet;dev_integral;2000;non;oui;40-60k€;200-400K€;_0;0_5;2022;250_500
M;2FEB5768-6429;Bachelors;Private;Minivan;no;Highly Urban/ Urban;complet;dev_integral;1971;non;non;sup 100k€;_0;3_6;10_15;2022;250_500
M;6102ECED-0F8B;Masters;Commercial;Panel Truck;yes;Highly Urban/ Urban;complet;dev_express;2013;non;non;sup 100k€;_0;3_6;sup 15;2022;250_500
M;2E4C385F-F335;Bachelors;Private;Minivan;yes;Highly Urban/ Urban;complet;dev_premium;1962;non;non;60-80k€;_0;0_3;10_15;2022;250_500
M;A9A11792-AF4C;PhD;Commercial;Panel Truck;yes;Highly Urban/ Urban;complet;dev_integral;1999;non;oui;;sup 400K€;_0;10_15;2022;250_500
F;BD19E10D-79E1;<High School;Private;Minivan;no;Highly Urban/ Urban;complet;dev_integral;1951;oui;oui;0-20k€;100-200K€;_0;0_5;2022;250_500
M;4DA1FBB0-CEDF;Bachelors;Commercial;Minivan;yes;z_Highly Rural/ Rural;complet;dev_integral;1983;non;oui;60-80k€;200-400K€;0_3;10_15;2022;250_500
F;E5BAEC9D-3DC8;Bachelors;Private;Minivan;yes;Highly Urban/ Urban;complet;dev_express;1965;non;oui;sup 100k€;200-400K€;3_6;10_15;2022;250_500
M;ED4D7A2D-15DA;z_High School;Private;z_SUV;no;Highly Urban/ Urban;complet;dev_premium;1932;non;non;0-20k€;100-200K€;_0;5_10;2022;250_500
M;03EEE359-5DFD;Bachelors;Commercial;z_SUV;no;Highly Urban/ Urban;complet;dev_integral;1970;non;non;60-80k€;100-200K€;_0;5_10;2022;250_500
M;E155C3CD-5B97;Bachelors;Commercial;Minivan;no;Highly Urban/ Urban;complet;dev_express;1968;oui;oui;sup 100k€;200-400K€;_0;10_15;2022;250_500
M;E06651EC-88EC;z_High School;Private;z_SUV;no;Highly Urban/ Urban;complet;dev_express;1954;non;oui;0-20k€;100-200K€;_0;5_10;2022;250_500
F;24C8F55C-6148;z_High School;Commercial;Minivan;no;Highly Urban/ Urban;complet;dev_express;1958;non;oui;40-60k€;100-200K€;0_3;5_10;2022;250_500
F;624548B3-90A4;Bachelors;Private;z_SUV;no;Highly Urban/ Urban;complet;dev_premium;1967;non;non;80-100k€;200-400K€;_0;10_15;2022;250_500
F;9ADD8BC3-9CC6;<High School;Private;Minivan;no;z_Highly Rural/ Rural;complet;dev_premium;1971;oui;oui;20-40k€;100-200K€;_0;0_5;2022;250_500
F;EBCD8269-76DD;Bachelors;Private;Sports Car;no;z_Highly Rural/ Rural;complet;dev_express;1945;oui;oui;40-60k€;100-200K€;_0;10_15;2022;250_500
F;796042DE-85B3;z_High School;Private;Pickup;no;Highly Urban/ Urban;complet;dev_integral;1961;oui;oui;0-20k€;100-200K€;_0;5_10;2022;250_500
M;9A3EB705-1D55;z_High School;Commercial;Sports Car;no;Highly Urban/ Urban;complet;dev_integral;2014;oui;oui;40-60k€;_0;0_3;0_5;2022;250_500
M;728AAFA6-AF4D;Masters;Private;Minivan;no;Highly Urban/ Urban;complet;dev_integral;2019;non;non;60-80k€;200-400K€;_0;10_15;2022;250_500
M;0826F166-852A;PhD;Private;z_SUV;no;z_Highly Rural/ Rural;complet;dev_integral;1953;non;non;0-20k€;100-200K€;_0;10_15;2022;250_500
M;FF2E69C1-4C45;Masters;Private;Minivan;yes;Highly Urban/ Urban;complet;dev_express;1966;non;oui;80-100k€;200-400K€;0_3;10_15;2022;250_500
M;16500161-0E8C;Bachelors;Private;z_SUV;no;Highly Urban/ Urban;complet;dev_integral;1953;non;non;sup 100k€;_0;_0;10_15;2022;250_500
F;E3E4B7BA-C0FC;Bachelors;Private;Pickup;yes;Highly Urban/ Urban;complet;dev_integral;1974;non;non;60-80k€;200-400K€;_0;10_15;2022;250_500
F;85EB951F-4168;Masters;Private;Van;no;Highly Urban/ Urban;complet;dev_integral;1994;non;oui;20-40k€;100-200K€;3_6;5_10;2022;250_500
M;EB994F83-478F;Bachelors;Private;Minivan;no;Highly Urban/ Urban;complet;dev_integral;1990;non;non;80-100k€;_0;_0;5_10;2022;250_500
M;38D7CD17-9287;z_High School;Private;Minivan;no;Highly Urban/ Urban;complet;dev_integral;1954;non;non;sup 100k€;200-400K€;0_3;0_5;2022;250_500
M;A6BAF3CF-CCDA;z_High School;Commercial;Minivan;yes;z_Highly Rural/ Rural;complet;dev_express;2006;non;non;0-20k€;0-100K€;6_9;0_5;2022;250_500
M;14274A38-4E87;Bachelors;Commercial;Sports Car;no;Highly Urban/ Urban;complet;dev_premium;2002;non;non;40-60k€;200-400K€;0_3;;2022;500_750
M;9A6B1658-BE2D;PhD;Private;Minivan;no;Highly Urban/ Urban;complet;dev_express;1964;non;non;sup 100k€;200-400K€;0_3;10_15;2022;250_500
F;1D691A27-AA58;Bachelors;Private;Sports Car;no;Highly Urban/ Urban;complet;dev_express;1953;non;oui;0-20k€;0-100K€;_0;10_15;2022;250_500
F;3ABA31B2-3391;z_High School;Private;Minivan;no;Highly Urban/ Urban;complet;dev_vip;1952;non;oui;20-40k€;_0;6_9;5_10;2022;500_750
M;6DD5CCD3-4EC4;<High School;Private;z_SUV;no;z_Highly Rural/ Rural;complet;dev_express;2014;non;oui;0-20k€;0-100K€;_0;0_5;2022;250_500
M;9EDB4CD3-785C;z_High School;Private;Minivan;yes;Highly Urban/ Urban;complet;dev_express;1967;non;non;20-40k€;100-200K€;0_3;0_5;2022;250_500
F;CA47670A-F250;Bachelors;Private;z_SUV;no;Highly Urban/ Urban;complet;dev_integral;2018;oui;oui;40-60k€;100-200K€;_0;5_10;2022;250_500
F;702CFB1D-7AE0;Masters;Private;Minivan;no;Highly Urban/ Urban;complet;dev_integral;1932;non;oui;80-100k€;_0;_0;sup 15;2022;250_500
M;7EBABE16-187A;Masters;Commercial;Van;yes;Highly Urban/ Urban;complet;dev_integral;2011;non;non;40-60k€;200-400K€;0_3;10_15;2022;250_500
M;400D92A5-CF6F;Masters;Commercial;Van;no;Highly Urban/ Urban;complet;dev_express;1987;oui;oui;sup 100k€;200-400K€;3_6;5_10;2022;250_500
M;16C72474-6EF1;z_High School;Commercial;z_SUV;no;Highly Urban/ Urban;complet;dev_express;1971;non;oui;40-60k€;100-200K€;3_6;0_5;2022;250_500
F;FB98C21D-9C4A;z_High School;Private;Sports Car;no;Highly Urban/ Urban;complet;dev_premium;1977;non;oui;;0-100K€;3_6;5_10;2022;500_750
M;1424DDB1-8349;z_High School;Commercial;Sports Car;no;Highly Urban/ Urban;complet;dev_integral;1972;non;non;80-100k€;200-400K€;0_3;5_10;2022;250_500
F;7C5D65D3-8688;Masters;Private;Minivan;no;Highly Urban/ Urban;complet;dev_integral;1971;non;non;sup 100k€;200-400K€;_0;5_10;2022;250_500
F;47BA6B44-4103;Bachelors;Private;Pickup;yes;Highly Urban/ Urban;complet;dev_integral;2017;non;oui;sup 100k€;sup 400K€;_0;10_15;2022;250_500
M;0E717D0C-E517;Bachelors;Private;z_SUV;no;Highly Urban/ Urban;complet;dev_premium;1941;non;non;40-60k€;_0;3_6;10_15;2022;500_750
M;11272A5F-9534;z_High School;Commercial;z_SUV;no;Highly Urban/ Urban;complet;dev_express;1936;non;oui;0-20k€;_0;6_9;;2022;250_500
M;FD5D8684-3D38;Bachelors;Private;z_SUV;no;Highly Urban/ Urban;complet;dev_express;1972;non;non;20-40k€;100-200K€;0_3;10_15;2022;250_500
M;6BD5856E-ACC2;Bachelors;Private;z_SUV;no;Highly Urban/ Urban;complet;dev_integral;1961;non;non;80-100k€;200-400K€;_0;5_10;2022;250_500
M;10317DCF-88E8;z_High School;Private;z_SUV;no;z_Highly Rural/ Rural;complet;dev_integral;1982;oui;oui;20-40k€;_0;0_3;5_10;2022;250_500
F;14AF864D-E97D;Masters;Private;z_SUV;no;Highly Urban/ Urban;complet;dev_integral;1951;non;non;80-100k€;200-400K€;_0;sup 15;2022;250_500
F;957DFBF6-C8DD;Masters;Private;Minivan;no;z_Highly Rural/ Rural;complet;dev_express;1947;non;non;80-100k€;200-400K€;_0;10_15;2022;250_500
M;636BBB92-0DA8;z_High School;Private;Minivan;no;Highly Urban/ Urban;complet;dev_integral;1946;non;non;40-60k€;200-400K€;_0;5_10;2022;250_500
F;DC82B8A5-3A7B;Bachelors;Private;z_SUV;no;Highly Urban/ Urban;complet;dev_express;1959;non;non;60-80k€;_0;0_3;0_5;2022;250_500
F;A55A8866-53F0;PhD;Private;Minivan;yes;Highly Urban/ Urban;complet;dev_express;1962;non;oui;;200-400K€;0_3;0_5;2022;250_500
M;C95F8F76-1118;<High School;Private;Minivan;no;Highly Urban/ Urban;complet;dev_express;1992;non;non;20-40k€;100-200K€;0_3;0_5;2022;250_500
F;CC04E391-B543;z_High School;Commercial;Pickup;yes;z_Highly Rural/ Rural;complet;dev_integral;1948;non;oui;20-40k€;_0;_0;5_10;2022;250_500
M;820891B1-64B8;PhD;Commercial;Van;yes;Highly Urban/ Urban;complet;dev_integral;1941;oui;oui;sup 100k€;sup 400K€;_0;10_15;2022;250_500
F;8C659475-0F9D;<High School;Private;Sports Car;no;Highly Urban/ Urban;complet;dev_express;1955;non;oui;0-20k€;100-200K€;3_6;0_5;2022;250_500
M;421D72D6-73BD;Masters;Private;Pickup;no;Highly Urban/ Urban;complet;dev_integral;1951;non;non;60-80k€;200-400K€;_0;10_15;2022;250_500
M;4A4CFDAB-2F11;Bachelors;Commercial;Minivan;yes;z_Highly Rural/ Rural;complet;dev_integral;1939;non;non;sup 100k€;200-400K€;_0;5_10;2022;250_500
M;FCE86011-B457;z_High School;Commercial;z_SUV;no;Highly Urban/ Urban;complet;dev_integral;1958;non;non;80-100k€;200-400K€;3_6;0_5;2022;250_500
M;4C0DBF3E-0A35;Bachelors;Private;Sports Car;no;Highly Urban/ Urban;complet;dev_integral;1954;oui;oui;80-100k€;200-400K€;_0;5_10;2022;250_500
M;3617FBC1-E67A;Bachelors;Private;z_SUV;no;Highly Urban/ Urban;complet;dev_premium;1991;non;non;sup 100k€;200-400K€;0_3;10_15;2022;250_500
F;69F74CAB-7FEA;Masters;Private;Minivan;no;z_Highly Rural/ Rural;complet;dev_integral;1975;oui;oui;sup 100k€;200-400K€;0_3;10_15;2022;250_500
F;FC49C1D3-FD5B;Masters;Private;Minivan;no;Highly Urban/ Urban;complet;dev_integral;1952;non;oui;40-60k€;100-200K€;_0;10_15;2022;250_500
F;21FBB0E4-624A;Bachelors;Private;Sports Car;no;z_Highly Rural/ Rural;complet;dev_express;1969;non;non;0-20k€;_0;0_3;5_10;2022;250_500
F;ACCF710A-E467;<High School;Private;Minivan;no;Highly Urban/ Urban;complet;dev_express;1972;oui;oui;0-20k€;_0;0_3;0_5;2022;250_500
